Epsilon,Robust Cost,Nominal Cost,Rho,KL Distance
0.05,0.6220344988162705,0.4068694240207705,1.9567438493281677,0.24098616581523713
0.1,0.4285170456156754,0.4068694240207705,0.21047166997235747,0.038972435709477345
0.15000000000000002,0.42663666879904777,0.4068694240207705,0.19855424264231875,0.04042018364674746
0.2,0.42386130582045034,0.4068694240207705,0.16152950665323584,0.011869696142539911
0.25,0.4233963716361099,0.4068694240207705,0.16263289900622355,0.027564019934038196
0.3,0.40990759854122366,0.4068694240207705,0.027066357411404507,0.0007368221583306141
0.35000000000000003,0.41142633786271005,0.4068694240207705,0.03838420888685255,0.004585350708423015
0.4,0.410152596451645,0.4068694240207705,0.029749849324218123,0.009960967087039849
0.45,0.4111413765697212,0.4068694240207705,0.037931693957764065,0.0039224715075041605
0.5,0.4120343263285189,0.4068694240207705,0.04779175527633752,0.0057101144199614064
0.55,0.41019456515169406,0.4068694240207705,0.03258266609926627,0.0017534350667743417
0.6000000000000001,0.41124311503219063,0.4068694240207705,0.0376669258721431,0.008488238822388368
0.6500000000000001,0.408034257913145,0.4068694240207705,0.02988917584935748,0.001230790899147741
0.7000000000000001,0.4085381711830344,0.4068694240207705,0.015369801646338391,0.003346174616268939
0.7500000000000001,0.4077575659210548,0.4068694240207705,0.009990827504671458,0.00024563974621515713
0.8,0.40716839878754385,0.4068694240207705,0.005240857251206163,0.00039080226888235344
0.8500000000000001,0.41082900071414297,0.4068694240207705,0.03475215302525612,0.004099178942842183
0.9000000000000001,0.40751518978119583,0.4068694240207705,0.006695839250605795,5.6937076473919605e-05
0.9500000000000001,0.407467932624984,0.4068694240207705,0.0068119669331368595,0.0025426579679667344
1.0,0.40708157364616304,0.4068694240207705,0.0014621213962678712,4.3008079130950685e-05
